Comment,Designator,Footprint,LCSC Part #
100R,R11,R_0402_1005Metric,C25076
100n,"C5,C6",C_0402_1005Metric,C1525
10k,"R3,R4,R7,R9",R_0603_1608Metric,C25804
120p,C2,C_0402_1005Metric,C106996
16k,R6,R_0603_1608Metric,C4210
1M,R10,R_0402_1005Metric,C26083
1k,R2,R_0402_1005Metric,C11702
1n,C3,C_0402_1005Metric,C1523
1u,C1,C_0603_1608Metric,C15849
33k,R5,R_0402_1005Metric,C25779
39R,R1,R_0603_1608Metric,C23154
4.7p,C4,C_0402_1005Metric,C1569
560k,R8,R_0402_1005Metric,C132339
JST GH LED,J4,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893
S8050,Q1,SOT-23,C2146
TLV7011DCKR,U2,SOT-353_SC-70-5,C193688
TLV9062IDDFR,U1,SOT-23-8,C2867884
TX CABLE,J3,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,C189893
VEMD10940FX01,D2,VEMD10940F_SideView,C7104273
VSMB1940X01,D1,LED_0805_2012Metric,C3151600
