Designator,Mid X,Mid Y,Layer,Rotation
C1,145.6250mm,106.4500mm,Top,90.00
C2,145.4250mm,102.2500mm,Top,90.00
C3,149.2250mm,103.4500mm,Top,0.00
C4,152.1250mm,103.9500mm,Top,90.00
C5,144.4250mm,104.4500mm,Top,0.00
C6,152.6750mm,108.9500mm,Top,90.00
D1,147.7500mm,131.2500mm,Top,180.00
D2,147.4250mm,97.9500mm,Top,0.00
J3,149.6250mm,114.6500mm,Top,180.00
J4,147.4250mm,124.9500mm,Top,0.00
Q1,144.0250mm,115.0500mm,Top,0.00
R1,150.7500mm,129.0000mm,Top,270.00
R10,151.3250mm,106.5500mm,Top,0.00
R11,142.9250mm,100.3700mm,Top,0.00
R2,142.9250mm,112.2500mm,Top,0.00
R3,143.9250mm,102.4500mm,Top,90.00
R4,143.9250mm,106.4500mm,Top,90.00
R5,147.4750mm,100.2000mm,Top,90.00
R6,147.4250mm,103.2500mm,Top,90.00
R7,147.3250mm,106.4500mm,Top,90.00
R8,150.9250mm,103.9500mm,Top,90.00
R9,149.2250mm,105.5500mm,Top,90.00
U1,150.6250mm,101.1000mm,Top,90.00
U2,150.9250mm,108.9500mm,Top,0.00
