time_ms,carrier,transmission,photodiode_ua,tia_v,bandpass_v,threshold_v,comparator,digital_active_low,blocked_digital
0.0,1,1.0,12.20721,1.24716,1.65,1.66844,0,0,1
0.005,1,1.0,12.213,1.24706,1.64711,1.66844,0,0,1
0.01,1,1.0,12.20721,1.24706,1.64611,1.66844,0,0,1
0.015,0,1.0,12.00051,1.2497,1.69729,1.63156,1,1,0
0.02,0,1.0,11.99887,1.25268,1.84234,1.63156,1,1,0
0.025,0,1.0,12.00153,1.25359,1.87269,1.63156,1,1,0
0.03,1,1.0,12.20898,1.24961,1.72462,1.63156,1,1,0
0.035,1,1.0,12.21332,1.24781,1.58446,1.66844,0,1,0
0.04,0,1.0,11.99732,1.24877,1.56759,1.66844,0,1,0
0.045,0,1.0,12.00316,1.25242,1.73303,1.63156,1,1,0
0.05,0,1.0,11.99966,1.25353,1.80167,1.63156,1,1,0
0.055,1,1.0,12.20749,1.25074,1.72931,1.63156,1,1,0
0.06,1,1.0,12.21156,1.24815,1.56723,1.66844,0,1,0
0.065,1,1.0,12.21073,1.24738,1.51825,1.66844,0,1,0
0.07,0,1.0,12.00165,1.25172,1.66274,1.66844,0,1,0
0.075,0,1.0,12.0008,1.25333,1.77323,1.63156,1,1,0
0.08,1,1.0,12.20981,1.25169,1.75488,1.63156,1,1,0
0.085,1,1.0,12.20873,1.24847,1.58289,1.66844,0,1,0
0.09,1,1.0,12.21029,1.24748,1.51714,1.66844,0,1,0
0.095,0,1.0,11.9998,1.25073,1.60574,1.66844,0,1,0
0.1,0,1.0,12.00191,1.253,1.75245,1.63156,1,1,0
0.105,0,1.0,12.00239,1.25366,1.78883,1.63156,1,1,0
0.11,1,1.0,12.2114,1.24908,1.62628,1.63156,0,1,0
0.115,1,1.0,12.21158,1.24767,1.52776,1.66844,0,1,0
0.12,0,1.0,11.99805,1.24987,1.56645,1.66844,0,1,0
0.125,0,1.0,12.00262,1.25272,1.73041,1.63156,1,1,0
0.13,0,1.0,12.00094,1.25363,1.7866,1.63156,1,1,0
0.135,1,1.0,12.20809,1.24998,1.67699,1.63156,1,1,0
0.14,1,1.0,12.20834,1.24798,1.54191,1.66844,0,1,0
0.145,0,1.0,11.9997,1.2481,1.51811,1.66844,0,1,0
0.15,0,1.0,11.99995,1.2522,1.68884,1.63156,1,1,0
0.155,0,1.0,12.00056,1.25345,1.77665,1.63156,1,1,0
0.16,1,1.0,12.21229,1.25072,1.71524,1.63156,1,1,0
0.165,1,1.0,12.21011,1.24818,1.55913,1.66844,0,1,0
0.17,1,1.0,12.20902,1.24741,1.51327,1.66844,0,1,0
0.175,0,1.0,11.99591,1.25142,1.64269,1.66844,0,1,0
0.18,0,1.0,11.99964,1.25321,1.76563,1.63156,1,1,0
0.185,1,1.0,12.21142,1.25227,1.76964,1.63156,1,1,0
0.19,1,1.0,12.2117,1.24864,1.596,1.66844,0,1,0
0.195,1,1.0,12.2116,1.24753,1.51951,1.66844,0,1,0
0.2,0,1.0,11.99696,1.25073,1.60329,1.66844,0,1,0
0.205,0,1.0,12.00283,1.253,1.74983,1.63156,1,1,0
0.21,0,1.0,11.9992,1.2537,1.78803,1.63156,1,1,0
0.215,1,1.0,12.21359,1.24934,1.63959,1.63156,1,1,0
0.22,1,1.0,12.21085,1.24775,1.5281,1.66844,0,1,0
0.225,0,1.0,12.00193,1.24935,1.54516,1.66844,0,1,0
0.23,0,1.0,12.0,1.25258,1.71679,1.63156,1,1,0
0.235,0,1.0,11.99914,1.25358,1.78286,1.63156,1,1,0
0.24,1,1.0,12.21147,1.24995,1.67756,1.63156,1,1,0
0.245,1,1.0,12.21142,1.24793,1.54193,1.66844,0,1,0
0.25,0,1.0,12.00083,1.24808,1.51833,1.66844,0,1,0
0.255,0,1.0,12.00153,1.25219,1.69039,1.63156,1,1,0
0.26,0,1.0,12.00221,1.25344,1.77792,1.63156,1,1,0
0.265,1,1.0,12.20763,1.25121,1.7338,1.63156,1,1,0
0.27,1,1.0,12.21197,1.24832,1.56796,1.66844,0,1,0
0.275,1,1.0,12.21475,1.24743,1.51204,1.66844,0,1,0
0.28,0,1.0,11.9981,1.25146,1.63996,1.66844,0,1,0
0.285,0,1.0,12.00057,1.25322,1.76263,1.63156,1,1,0
0.29,1,1.0,12.21061,1.25228,1.76698,1.63156,1,1,0
0.295,1,1.0,12.21444,1.2486,1.59227,1.66844,0,1,0
0.3,1,1.0,12.2106,1.24753,1.51755,1.66844,0,1,0
0.305,0,1.0,11.99667,1.25033,1.58545,1.66844,0,1,0
0.31,0,1.0,11.99993,1.25288,1.7427,1.63156,1,1,0
0.315,0,1.0,11.99743,1.25368,1.7893,1.63156,1,1,0
0.32,1,1.0,12.20898,1.24932,1.64267,1.63156,1,1,0
0.325,1,1.0,12.21274,1.24772,1.53107,1.66844,0,1,0
0.33,0,1.0,12.00092,1.24935,1.54788,1.66844,0,1,0
0.335,0,1.0,12.00113,1.25259,1.71939,1.63156,1,1,0
0.34,0,1.0,12.00045,1.2536,1.78558,1.63156,1,1,0
0.345,1,1.0,12.20961,1.25033,1.69629,1.63156,1,1,0
0.35,1,1.0,12.21179,1.24804,1.54865,1.66844,0,1,0
0.355,1,1.0,12.21036,1.24737,1.51114,1.66844,0,1,0
0.36,0,1.0,12.00124,1.25199,1.67452,1.66844,1,1,0
0.365,0,1.0,12.00034,1.2534,1.77332,1.63156,1,1,0
0.37,1,1.0,12.2118,1.25118,1.73396,1.63156,1,1,0
0.375,1,1.0,12.21179,1.24831,1.56909,1.66844,0,1,0
0.38,1,1.0,12.21006,1.24744,1.51368,1.66844,0,1,0
0.385,0,1.0,11.99838,1.2511,1.62391,1.66844,0,1,0
0.39,0,1.0,11.99977,1.25312,1.75932,1.63156,1,1,0
0.395,1,1.0,12.2151,1.25293,1.78181,1.63156,1,1,0
0.4,1,1.0,12.21051,1.24882,1.60923,1.66844,0,1,0
0.405,1,1.0,12.21065,1.24759,1.52254,1.66844,0,1,0
0.41,0,1.0,11.99831,1.25033,1.58483,1.66844,0,1,0
0.415,0,1.0,11.9987,1.2529,1.74179,1.63156,1,1,0
0.42,0,1.0,12.00014,1.25365,1.78714,1.63156,1,1,0
0.425,1,1.0,12.20612,1.24965,1.65755,1.63156,1,1,0
0.43,1,1.0,12.21092,1.24783,1.5339,1.66844,0,1,0
0.435,0,1.0,11.999,1.24879,1.53025,1.66844,0,1,0
0.44,0,1.0,11.99838,1.25243,1.70452,1.63156,1,1,0
